Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
Cosmic Bliss,,Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,Coconut,United States and Canada,United States,Oregon,Eugene ,https://www.cosmicbliss.com/collections,2005,Luna Kaplowitz and Larry Kaplowitz 
COSUCRA,,Plant-based,B2B,Ingredients and inputs,Diversified,,Ingredients,,Pea,,Belgium,,,https://www.cosucra.com/,1852,
Cosun Protein,European company that produces functional and neutral tasting plant-based proteins. ,Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,,,Fava bean,Europe,Netherlands,,Dinteloord,https://www.cosunprotein.com/,2022,
Cotion Limited,China-based supplier of food raw materials and ingredients. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,Shanghai,http://www.cotion.com/en/default.html,2001,
CP Kelco,"Ingredient solutions company working with food, beverage and consumer products manufacturers worldwide.","Plant-based,Cultivated,Fermentation-derived",B2B,Ingredients and inputs,Diversified,"Bioprocess design,Ingredient optimization,End product formulation and manufacturing",,,,United States and Canada,United States,Georgia,Atlanta,www.cpkelco.com,1929,
Crackd,"The UK's first liquid plant-based egg replacement that can be used in cooking, baking, or on its own. ",Plant-based,B2C,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,Pea,Europe,United Kingdom,,,https://www.crackd.com/,2020,Rik Roberts 
Crafty Counter,"U.S.-based company that produces a variety of Indian-inspired whole-food plant-based protein products, including plant-based hard boiled eggs under the brand ""WunderEggs""",Plant-based,B2C,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Eggs,Other",,"Cashew,Almond",United States and Canada,United States,Texas,Austin,https://www.craftycounter.com/pages/wundereggs,2018,Hema Reddy
Craig's Vegan Ice Cream ,Cashew-based ice cream ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Cashew,United States and Canada,United States,California,West Hollywood,https://craigsvegan.com/pages/our-story,2018,
Credo Foods,"Credo Foods makes plant-based cheeses and dips, including an oat milk-based spray cheese. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Cashew,Oat",United States and Canada,United States,Texas,Austin ,https://credofoods.com/,2018,Adam and Madeline Salamon
CREMER Nutrition,CREMER Nutrition oversees the development of the plant-based protein business within CREMER.,Plant-based,"B2B,B2C","Contract manufacturing/processing,Ingredients and inputs",Specialized (focused on alternative proteins),"Ingredient optimization,End product formulation and manufacturing",Ingredients,"Beef/veal,Chicken,Pork,Mutton/lamb,Turkey","Pea,Fava bean,Chickpea,Hemp",Europe,Germany,,Hamburg,https://www.cremer.de/en/divisions/industry/nutrition.html,2020,"Darren Kostiw, Tom Chan, Randy Book, and Nisarg Patel"
CrisprBits,"CrisprBits is the first company in India to leverage ground breaking CRISPR technology to develop high quality solutions in life sciences. They are presently using CRISPR to develop pervasive diagnostics and surveillance tests. We are enabling the application of CRISPR editing to areas addressing critical healthcare needs, such as building the next generation CAR-T cells and disease tissue models from edited induced pluripotent stem cells (iPSCs). Over time, we will apply CRISPR to develop applications in food and fermentation industry that impact climate.",Cultivated,B2B,"Seafood,Dairy,Ingredients and inputs",Diversified,Host strain development,Other,,,Asia Pacific,India ,,Delhi,www.crisprbits.com,2020,"Dr. Vijay Chandru, Mr. Sunil Arora"
Crummies,US-based producer of plant-based meat crumbles. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,"Cauliflower,Quinoa,Mushrooms",United States and Canada,United States,Colorado,Milliken,http://coloradocrummies.com/,2017,Stephanie Baudhuin
Crunch,Plant-based seafood. ,Plant-based,B2B,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Other meat/seafood","Other fish,Salmon,Tuna,Other shellfish,Shrimp,Crab",,United States and Canada,Canada,,,,2024,
CSIRO,,Plant-based,,Contract manufacturing/processing,Diversified,,,,,Australia/New Zealand,Australia,,,"https://www.csiro.au/en/work-with-us/industries/food?start=0&count=12, https://www.csiro.au/en/Do-business/RandD/Do-business-Agriculture-Food/Food-innovation-centre/Our-facilities",1970,
Cubiq Foods,"Spain-based startup working on cultivated fat, also developing cell-based omega-3.",Cultivated,B2C,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,"Oils and fats,Ingredients",,Omega-3 ,"Europe,United States and Canada",Spain,,Barcelona,http://www.cubiqfoods.com/,2018,"Andrés Montefeltro, Raquel Revilla"
CULT Food Science,,Cultivated,B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,United States and Canada,Canada,,,https://www.cultfoodscience.com/,1983,
Cultimate Foods ,Germany-based company that produces cultivated fats designed for products that are hybrids of plant-based and cultivated meats.,Cultivated,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Oils and fats,,,Europe,Germany,,Berlin,https://www.cultimatefoods.com/,2021,"Eugenia Sague, George Zheleznyi, and Oskar Latyshev "
Cultivated Biosciences,"Startup developing a fat ingredient from oleaginous yeast, which offers the creaminess needed for plant-based dairy.",Precision fermentation,B2B,"Dairy,Ingredients and inputs",Specialized (focused on alternative proteins),Ingredient optimization,Oils and fats,,Yeast,Europe,Switzerland,,Zurich,https://www.cultivated.bio/,2021,Tomas Turner and Dimitri Zogg
Cultivated Food Labs,,"Plant-based,Cultivated",,Contract manufacturing/processing,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,United States and Canada,Canada,,,https://cultivatedfoodlabs.com/,2019,
Cultivated Meat Technologies,,Cultivated,B2B,Meat,Specialized (focused on alternative proteins),Bioprocess design,Other meat/seafood,,,Europe,United Kingdom,,Newcastle,https://www.linkedin.com/company/cultivated-meat-technologies/about/,2023,Che Connon and Geoffrey Baker
Culture Biosciences,"US-based company whose first offering enables biopharma, biotechnology, and synthetic biology companies to run their bioprocessing R&D in the cloud. Digital biomanufacturing R&D. ","Fermentation-derived,Cultivated",B2B,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing",Diversified,"Bioprocess design,Cell culture media,Cell line development,Host strain development",,,,United States and Canada,United States,California,South San Francisco,https://www.culturebiosciences.com/,2016,"Will Patrick, Matt Ball"
Cultured Foods,"Poland-based company that produces plant-based meat and dairy cooking alternatives, including a line of vegan eggs under the brand ""vEGGs""",Plant-based,B2C,"Eggs,Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs,Cheese,Other meat/seafood",,"Soy,Pea,Potato,Tapioca,Chickpea",Europe,Poland,,Puławy,https://culturedfoods.eu,2019,
CULTZYME,Intelligent multipurpose bioreactors for advanced biotech solutions.,"Fermentation-derived,Cultivated,Biomass fermentation,Precision fermentation",B2B,Bioprocessing infrastructure and equipment,Diversified,"Bioprocess design,Cell culture media,Ingredient optimization",Other,,,Europe,Spain,,Donostia-San Sebastian,https://cultzyme.com/,2022,Juan Manuel Garzón Vela and Rubén Palomero López
Curia Global,,Fermentation-derived,B2B,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,www.amriglobal.com,1991,
Current Foods ,"Startup working on plant-based fish, starting with akami tuna sashimi. ",Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Tuna,"Pea,Algae",United States and Canada,United States,California,San Francisco,https://currentfoods.com,2019,"Jacek Prus, Sonia Hurtado"
Cutting Vedge,US-based producer of plant-based meat products. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork","Pea,Quinoa,Rice,Sunflower,Chickpea,Potato,Yeast",United States and Canada,United States,New Jersey ,Bloomfield,https://cuttingvedge.com/,2022,
Cx Bio,Luxembourg-based company developing a method to transform agricultural waste into lipids for meat alternatives. 	,"Plant-based,Biomass fermentation",B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,Bioprocess design,Feedstocks","Ingredients,Oils and fats",,,Europe,Luxembourg,,Bertrange,https://www.connectomix.bio/,2022,Milena Ivanisevic
Cysal,R&D partner for fermentation solutions; maker of amino acid base materials.,Fermentation-derived,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,,Europe,Germany,,Münster,http://www.cysal.de/,2012,Ahmed Sallam and Martin Krehenbrink
CytoNest,Startup focused on delivering customized and scalable 3D fiber scaffolds for adherent cell expansion,Cultivated,B2C,Bioprocessing infrastructure and equipment,Diversified,Scaffolding and structure,,,,United States and Canada,United States,Georgia,Athens,https://www.cytonest.com/,2020,Nataraja S Yadavalli and Sergiy Minko
Cytovance Biologics,,Fermentation-derived,B2B,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,www.cytovance.com,2003,
Dacsa Group,Spanish manufacturer of plant-based ingredients and finished plant-based meat products.,Plant-based,B2B,"Meat,Ingredients and inputs",Diversified,"End product formulation and manufacturing,Ingredient optimization","Whole muscle meat/seafood,Ground meat/seafood","Chicken,Beef/veal,Other fish",Pea,Europe,Spain,,,https://www.dacsa.com/,1968,
Daesang,,Plant-based,,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,,,Asia Pacific,South Korea,,,https://www.daesang.com/,1956,
"Dahmes Stainless, Inc. ","U.S.-based company that manufactures spray dryers and other equipment, including those involved in producing plant proteins. ",Plant-based,B2B,Food processing infrastructure and equipment,Diversified,Bioprocess design,,,,United States and Canada,United States,Minnesota,New London,https://www.dahmes.com,1994,
Dailyfood Group Limited,"China-based supplier of non GMO food ingredients and additives, animal and plant extracts, agricultural products, health care products, pharmaceutical ingredients and excipients, livestock and pet feeds, etc. ",Plant-based,B2B,"Ingredients and inputs,Contract manufacturing/processing",Diversified,Ingredient optimization,Ingredients,,"Soy,Pea,Wheat,Chickpea,Fava bean,Hemp,Peanut,Rice,Mung bean,Sunflower,Pumpkin,Corn,Seaweed",Asia Pacific,Mainland China,,Qingdao,http://www.dailyfoodgroup.cn/,2013,"David Wang, Charly Lee"
Dairyland,"Kenyan dairy company, released plant-based ice cream in 2023 ",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,Soy,Africa/Middle East,Kenya,,,https://dairyland.co.ke/about/,1979,
DairyX,DairyX is a food tech startup that aims to produce animal-free dairy products by producing functional milk proteins in yeast. ,Precision fermentation,B2B,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ingredients,,"Yeast,Casein",Africa/Middle East,Israel,,Or Yehuda,https://dairyx.com/,2022,Dr. Arik Ryvkin
Daisy Lab,New Zealand-based company utilizing precision fermentation to produce dairy proteins,Precision fermentation,B2C,Dairy,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization",Other dairy,,,Asia Pacific,New Zealand,,Auckland,www.daisylab.co.nz,2020,"Emily Mclsaac, Irina Miller, Nikki Freed"
Daiya Foods ,"Produces plant-based cheeses, packaged meals like frozen pizzas and shelf-stable packaged mac n cheese as well as frozen cheesecakes and sauces. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy,Other",,"Tapioca,Coconut,Potato,Pea",United States and Canada,Canada,,"Burnaby, Vancouver",https://daiyafoods.com/ ,2008,"Greg Blake, Andre Kroecher"
DAIZ,Japan-based company that produces plant-based meat using germinated soybeans,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,Soy,Asia Pacific,Japan,,Kunamoto,https://www.daiz.inc/en/,2015,Tsuyoshi Ide
DAIZu Labo ,Soy based plant-based meat ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,Soy,Asia Pacific,Japan,,,https://www.marukome.co.jp/product/all/all/daizu_labo/,2021,
Dall'albero,Plant-based cheese company,Plant-based,"B2B,B2C",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Europe,Italy,,Rome,https://www.dallalbero.com/en_GB,2016,
Damhert,"Belgian producer of a variety of health food products, including plant-based fish and meats.",Plant-based,B2C,"Meat,Seafood,Dairy",Diversified,End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood,Whole muscle meat/seafood,Cheese","Chicken,Beef/veal,Other fish","Soy,Wheat,Lentils,Coconut,Potato,Pea",Europe,Belgium,,Heusden-Zolder,https://www.damhert.be/en,1986,Grete Remen and Jan Remen
DaNAgreen,South Korea-based company crosslinking proteins to produce scaffolding that help scientists culture cells in 3D,Cultivated,B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),"Bioprocess design,Scaffolding and structure,Cell culture media",,,,Asia Pacific,South Korea,,Seoul,,2017,"Kiwoo Kim, Jenna Ju, Jay Jee"
Darë Vegan Cheese,US-based producer of traditionally crafted plant-based cheese. ,"Plant-based,Traditional fermentation",B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,Cashew,United States and Canada,United States,North Carolina,Weaverville,https://www.darevegancheese.com/,2019,Gwendolyn Dare Hageman
Daring Foods,Maker of plant-based chicken,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Whole muscle meat/seafood",Chicken,Soy,United States and Canada,United States,California,Culver City,http://www.daringfoods.com/,2018,"Eliott Kessas, Ross Mackay"
DAVA Foods,Nordic egg manufacturer with a plant-based product range.,Plant-based,B2C,"Eggs,Meat",Diversified,End product formulation and manufacturing,"Eggs,Other meat/seafood,Ground meat/seafood","Beef/veal,Chicken","Chickpea,Pea,Fava bean",Europe,Denmark,,Hadsund,https://davafoods.com/,1980,
Day8,"Day 8 is pioneering sustainable food production by transforming agricultural waste into high-quality protein. Utilizing innovative technology, Day 8 extracts Rubisco protein from discarded plant leaves, creating a cost-effective, allergen-free ingredient highly valued by the food industry. With a mission rooted in sustainability, integrity, and audacity, Day 8 aims to revolutionize food production, reduce deforestation, and promote eco-conscious consumption. Their approach ensures a greener planet while providing farmers with additional revenue streams.",Plant-based,,Ingredients and inputs,Specialized (focused on alternative proteins),Bioprocess design,Ingredients,,RuBisCO Protein ,Africa/Middle East,Israel,,Rehovot,https://www.day8food.com/,2023,"Daniel Rejzner, Dana Marom"
De Nieuwe Melkboer,Netherlands-based company producing plant-based milk.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,Soy,Europe,Netherlands,,Enschede,https://nieuwemelkboer.nl/,2020,Tom & Bart Grobben
De Novo Food Labs,De Novo Dairy produces milk proteins via precision fermentation. ,Precision fermentation,B2C,Dairy,Specialized (focused on alternative proteins),Ingredient optimization,Milk,,,"Africa/Middle East,United States and Canada",South Africa,,Cape Town,https://denovodairy.com/,2021,Jean Louwrens and Joni Symon
Deco Labs,Boston-based technology development company developing enabling technologies for cellular agriculture,Cultivated,"B2C,B2B","Meat,Seafood,Ingredients and inputs",Specialized (focused on alternative proteins),"Cell culture media,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization,Cell line development",,,,United States and Canada,United States,Massachusetts,Boston,https://www.decolabs.org/,2024,"Natalie Rubio, Andrew Stout, John Yuen Jr, Tufts University"
Dedert Corp.,"For over 50 years, Dedert has partnered with the top ingredients manufacturers to develop innovative solutions and to customize integrated process technologies with spray drying, flash and ring drying, fluid bed technology, falling-film evaporation, and much more.","Plant-based,Traditional fermentation,Fermentation-derived,Biomass fermentation,Precision fermentation",B2B,"Ingredients and inputs,Food processing infrastructure and equipment,Contract manufacturing/processing",Diversified,Ingredient optimization,,,,"United States and Canada,Europe,Asia Pacific",United States,Illinois ,Homewood,www.dedert.com,1968,Bill Dedert
Deep Branch Biotechnology Ltd.,Deep Branch uses clean and renewable carbon and energy sources to create ingredients for a more sustainable food system. ,Biomass fermentation,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Diversified,,,,,Europe,United Kingdom,,London,https://deepbranch.com,2018,"Pete Rowe, Rob Mansfield, and Bart Pander"
Defined Bioscience,"San Diego-based company that produces ingredients for cell culture with a mission to make cultured cells easy to grow and produce, using animal-free and defined ingredients.",Cultivated,B2B,"Contract manufacturing/processing,Ingredients and inputs",Specialized (focused on alternative proteins),"Cell culture media,Ingredient optimization,Cell line development",,,,United States and Canada,United States,California,San Diego,www.definedbioscience.com,2020,Steve Rees
DeliGene,"Deligene develops modern plant genome, editing to develop new seeds and create plant protein and oil better ingredients with higher functionality, low off-flavor and less processing requirements",Plant-based,"B2C,B2B","Ingredients and inputs,Meat,Dairy",Specialized (focused on alternative proteins),Ingredient optimization,"Oils and fats,Ingredients",,Soy,Africa/Middle East,Israel,,Kiryat Shmona,https://www.deligene.com/,2022,"Pinhas Kamari, Dr. Itay Cohen, and Erez Gal-Oz"
Delight Food,A South Korea-based technology company specializing in processing and controlling fine dietary fibers and composite structures to enhance the texture of plant-based meat products.,Plant-based,B2B,"Ingredients and inputs,Meat,Seafood",Specialized (focused on alternative proteins),"Scaffolding and structure,Ingredient optimization,End product formulation and manufacturing","Whole muscle meat/seafood,Other meat/seafood,Ingredients,Other",,,Asia Pacific,South Korea,,Pohang,https://www.delightfood.co.kr/,2023,Hongseop Hwang
Delight Soy,Producer of soy-based meat products based in the US.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood",,Soy,United States and Canada,United States,North Carolina,Morrisville,https://www.delightsoy.com/,1996,Lila Chung
Delishu ,Bulgarian company that produces cultured cashew products (cheese analog).,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Europe,Bulgaria,,Kubratovo,http://delishu.com/,2013,"Nikolai Todorov, Stilyana Todorova, Maria Dimitrova"
Demolish Foods,Demolish Foods makes slaughter-free meats,Plant-based,"B2C,B2B","Seafood,Meat",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Crop development,Ingredient optimization",Whole muscle meat/seafood,"Chicken,Other fish,Beef/veal,Pork",,"Asia Pacific,United States and Canada",United States,New York ,New York City,https://www.demolishfoods.com/,2020,Ravali Amba
dennree,"German producer of various food products, including plant-based milk, plant-based meat products, and tofu.",Plant-based,B2C,"Dairy,Meat",Diversified,End product formulation and manufacturing,"Milk,Ground meat/seafood,Other meat/seafood",,"Soy,Wheat,Oat,Almond,Rice,Coconut,Mushrooms,Pumpkin,Beetroot ",Europe,Germany,,Töpen,https://www.dennree.de/home,1974,Thomas Greim
denovoMATRIX,Enabling technology company that supports scaling of cell manufacturing with biomaterials and cell lines. ,Cultivated,B2B,"Meat,Bioprocessing infrastructure and equipment,Contract manufacturing/processing",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Cell line development,Scaffolding and structure,Bioprocess design",Ingredients,"Beef/veal,Chicken,Pork,Duck",,Europe,Germany,,Dresden,http://www.denovomatrix.com,2018,Dr. Dejan Husman & Dr. Richard Wetzel
Desi Treat,Desi Treat makes plant-based canned products including plant-based meat dishes. ,Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,Chicken,Soy,Asia Pacific,India ,,Delhi,https://desitreat.in/,1998,
Detroit Jerky,US-based producer of plant-based jerky.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Beef/veal,"Soy,Coconut",United States and Canada,United States,Michigan,Livonia,https://detroitjerkyllc.com/,2020,
Devansoy,US-based ingredients company. ,Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,,,"Soy,Oat",United States and Canada,United States,Illinois ,Rock City ,https://www.devansoy.com,1992,
Developeat,"Startup providing support during all phases of new food development, including project management, recipe development and testing, scientific research, upscaling and industrialization.","Cultivated,Plant-based,Precision fermentation",B2B,"Meat,Dairy",Diversified,Bioprocess design,,,,Europe,Netherlands,,Wageningen,https://developeat.com/,2020,Ricardo Bottiroli 
Devigere Biosolutions,"Devigere Biosolutions produces 100% chemical free,water soluble, sustainable, highly functional and versatile protein concentrates from Indian pulses. We have our novel technology which uses only water to extract proteins, therefore our proteins are completely soluble in water. It could be used in food and nutrition and alternate protein applications",Plant-based,"B2B,B2C",Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,End product formulation and manufacturing","Ingredients,Eggs",,"Pea,Mung bean",Asia Pacific,India ,,Bangalore,http://www.devigerebiosolutions.com/,2020,Smitha Devigere and Abhishek Devigere
Devotion Foods,Plant-based meat ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,Asia Pacific,South Korea,,,http://devotionfoods.com/,2018,
Dezhou Ruikang Food Co.,Highly technological Chinese manufacturer and processor of soybeans ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Soy,"Europe,United States and Canada,Asia Pacific",Mainland China,,Dezhou,http://www.cnsoyprotein.cn/ ,2002,Zhiguang Wang
Diat Rádisson,"Produces a variety of food products, including plant-based milk.",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Soy,Almond,Oat,Rice,Seaweed",Europe,Spain,,Barcelona,https://dietradisson.com/en,1941,
Digital Food Processing Initiative,Independent research institute developing innovative equipment solutions (e.g. 3D foodprinters).,"Plant-based,Cultivated",B2B,"Food processing infrastructure and equipment,Contract manufacturing/processing",Diversified,"Scaffolding and structure,End product formulation and manufacturing",,,,Europe,Netherlands,,Eindhoven,https://www.digitalfoodprocessing.com/en/digitalfoodprocessing.htm,1932,
DIL (German Institute of Food Technologies),,Plant-based,,Contract manufacturing/processing,Diversified,,,,,Europe,Germany,,,https://www.dil-ev.de/,1983,
Dipasa USA,Researches and develops sesame seed oil production,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,,United States and Canada,United States,Texas,Brownsville,http://www.dipasausa.com/website/webshop/product-catalog/categoryid/1/catname/sesame_oil.aspx?gclid=Cj0KCQiA3NX_BRDQARIsALA3fIKfZ2xBZjfeY6guyOUE_uuQhOkWC4V1iZVLA5m6fGs7_oFF-UvKWhYaAgdDEALw_wcB,1985,
DiPole Materials,"Electrospinning company that specializes in custom nanofiber manufacturing for use in cell culture, tissue engineering, water filtration, and technical textiles ",Cultivated,B2B,Ingredients and inputs,Diversified,"Scaffolding and structure,Cell culture media",,,,United States and Canada,United States,Maryland,Baltimore,https://www.dipolematerials.com/,2015,"James West, Ken Malone, Kelli Booth and Scott Gaboury"
DKSH,"Switzerland-based company that offers sourcing, marketing, sales, distribution, and after-sales-services across the consumer goods, healthcare, and technology industries",Plant-based,B2B,Ingredients and inputs,Diversified,,,,,United States and Canada,United States,New Jersey ,Mount Olive,https://www.dksh.com/us-en/home,1865,
Dobra Kaloria,Polish maker of foods including a range of plant-based meat products based on oyster mushrooms and wheat protein.,Plant-based,B2B,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork","Mushrooms,Wheat",Europe,Poland,,Częstochowa,https://dobrakaloria.pl/,1993,
Döhler,"German producer, marketer, and provider of technology-based natural ingredients and ingredient systems for the food and beverage industries.",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,"Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand,Latin America,United States and Canada",Germany,,Darmstadt,https://www.doehler.com/en/,1838,Lorenz Döhler
Dominex,"Produces veggie burgers, plant-based meatballs, and fried eggplant cutlets (all made of eggplant)",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Other,Other,Eggplant,United States and Canada,United States,Nebraska,Omaha,http://www.dominexeggplant.com/,2009,
Don Lee Farms,Supplier & co-packer of meat and plant proteins with decades of production know-how and culinary expertise,Plant-based,"B2C,B2B","Contract manufacturing/processing,Meat",Diversified,End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken",,United States and Canada,United States,California,Los Angeles,http://www.donleefarms.com/,1982,
Done Properly,"Chile-based company that develops bioprocessed ingredients using biomass fermentation, including a protein source based on mycelium under the brand ""Mico"" and a natural flavoring condiment based on umami molecules under the brand ""Rise""",Biomass fermentation,B2B,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),Ingredient optimization,"Ground meat/seafood,Ingredients",,"Fungi,Mycelium,Mycoprotein",Latin America,Chile,,Macul,https://www.doneproperly.co,2019,Eduardo Zavala Pulgar
DONGYU USI,"Sports nutrition, food and beverage, health and beauty, and pet industry ingredient supplier. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Soy,Pea",United States and Canada,United States,California,Tustin,https://dongyu.us,2006,
DProtein,DProtein Inc. is producing nutritional optimized and sustainable proteins without the need of plants or animals. ,Fermentation-derived,B2B,Ingredients and inputs,Diversified,,,,,Latin America,Mexico,,Mexico City ,,2021,"Sofia Cabrera, Gabriel Rio Ph.D."
Dr. Foods,Japan-based food tech company producing plant-based foie gras and developing plant-based and cultivated meat.,"Plant-based,Cultivated",B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,Cashew,Asia Pacific,Japan,,Tokyo,https://dr-foods.net/en/,2021,Koichi Ishizuka
Dr. Praeger's,"Produces frozen veggie burgers, veggie-potato pancakes, appetizers/snacks/side dishes, breaded fish, gefilte fish, and kids’ products. Not all products are vegetarian/vegan, but the veggie burgers are vegan. ",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Turkey","Pea,Soy",United States and Canada,United States,New Jersey ,Elmwood Park,https://drpraegers.com/,1994,"Peter Praeger, Eric Somberg"
Dragon Biotechnologies,Dragon Biotechnologies is a provider of engineered cell lines and technology services to the cultivated meat industry. They aim to provide reproducible and robust tools for the scientific community. ,Cultivated,B2B,"Bioprocessing infrastructure and equipment,Ingredients and inputs,Contract manufacturing/processing,Meat",Specialized (focused on alternative proteins),"Cell line development,Bioprocess design,Ingredient optimization",Ingredients,"Beef/veal,Pork",,Europe,United Kingdom,,Sheffield,https://www.dragonb.io/,2023,Adam Glen & Jack Reid
Dream,"Produces plant-based milks, including brand names Almond Dream, Soy Dream, and Rice Dream. Also produces almond based frozen desserts"".",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Soy,Oat,Coconut,Almond,Rice",United States and Canada,United States,Minnesota,Eden Prairie,http://www.dreamplantbased.com/,2021,Robert Nissenbaum
Dreamfarm,"Italian company making plant-based dairy products, primarily almond-based mozzerella.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Almond,Cashew",Europe,Italy,,Sala Baganza,https://dream-farm.it/,2021,Maddalena Zanoni
Driessen Food Extrusion,Dutch based co-manufacturer and co-creator of extruded plant-based ingredients.,Plant-based,B2B,"Ingredients and inputs,Contract manufacturing/processing",Diversified,"Ingredient optimization,End product formulation and manufacturing","Other,Ingredients",,,Europe,Netherlands,,Deurne,www.dfe.nl,2017,
Drinho,Plant-based milk brand based in Singapore. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Soy,Asia Pacific,Singapore,,Singapore,http://www.lamsoongroup.com/prodDrinho_SoyMilk.asp,1950,
